ACRON,GDP
AL,254.110
AK,57.349
AZ,420.027
AR,148.676
CA,3.373.241
CO,436.359
CT,298.395
DE,81.160
DC,153.670
FL,1.255.558
GA,691.627
HI,91.096
ID,96.283
IL,945.674
IN,412.975
IA,216.860
KS,191.381
KY,237.182
LA,258.571
ME,77.963
MD,443.930
MA,641.332
MI,572.206
MN,412.459
MS,127.308
MO,358.572
MT,58.700
NE,146.285
NV,194.487
NH,99.673
NJ,682.946
NM,109.583
NY,1.901.297
NC,662.121
ND,63.560
OH,756.617
OK,215.336
OR,272.191
PA,844.496
RI,66.571
SC,269.802
SD,61.685
TN,427.125
TX,2.051.769
UT,225.340
VT,37.104
VA,604.958
WA,677.489
WV,85.434
WI,368.611
WY,41.510
